Transition,Protocol,Index,Data,Comment
<PS>,SoE,S-0-0015,0x0007 (7),Telegram type
<PS>,SoE,S-0-0016,18 00 18 00 33 00 BD 00 0B 00 28 00 54 00 C8 81 C9 81 CA 81 21 83 86 01 82 00 99 01,AT list
<PS>,SoE,S-0-0024,04 00 04 00 2F 00 95 01,MDT list
IP,SoE,P-0-0010,FF FF F9 03 00 00 00 00,Feature flags
PS,SoE,S-0-0001,0x07D0 (2000),Tncyc - NC cycle time
PS,SoE,S-0-0002,0x07D0 (2000),Tscyc - Comm cycle time
PS,SoE,S-0-0032,0x000B (11),Operation mode
IP,SoE,P-0-0304,0x0001 (1),Report diagnostics information
PS,SoE,P-0-2000,0x0003 (3),Configured safety option
PS,SoE,P-0-0150,E0 00 E0 00 00 00 00 00 55 6E 6B 6E 23 31 56 70 70 2D 33 36 30 30 30 53 2D 35 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 20 03 03 00 00 00 00 00 00 00 01 00 03 00 00 00 00 00 A0 8C 00 00 00 00 00 00 E8 03 00 00 E8 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,Feedback 1 type
PS,SoE,P-0-0154,08 00 08 00 01 00 00 00 00 00 00 00,Feedback 1 reference signal
PS,SoE,P-0-0216,0x22C4 (8900),Max DC link voltage
PS,SoE,P-0-0201,0x0FA0 (4000),Nominal mains voltage
PS,SoE,P-0-0202,0x0064 (100),Mains voltage positive tolerance range
PS,SoE,P-0-0203,0x0064 (100),Mains voltage negative tolerance range
PS,SoE,P-0-0204,0x0809 (2057),Power management control word
PS,SoE,P-0-0053,10 00 22 00 54 4D 41 20 30 35 33 30 2D 30 37 30 2D 33 56 44,Configured motor type
PS,SoE,P-0-0050,0x0000 (0),Motor construction type
